Tool,Parameters,InitialSize,NewSize,Ratio
oxipng,-o 1,1060275,654571,0.6173596472613238
oxipng,-o 1,17818795,9627194,0.5402831111755874
oxipng,-o 1,14105918,7746583,0.549172552966776
oxipng,-o 1,9574194,7705261,0.8047947430352884
oxipng,-o 1,11691200,5806070,0.4966188244149446
oxipng,-o 1,11189733,5640368,0.5040663615476795
oxipng,-o 1,15136898,8044397,0.5314429019737069
oxipng,-o 1,17295792,9236688,0.5340425000485667
oxipng,-o 1,14140694,11760023,0.8316439773040842
oxipng,-o 1,14009184,7414316,0.529246814089957
oxipng,-o 1,17359477,9492435,0.546815724920745
oxipng,-o 1,12771364,6756305,0.5290198447088346
oxipng,-o 1,19115882,10388091,0.5434272402392942
oxipng,-o 1,13103347,6887369,0.5256190651136691
oxipng,-o 1,14180936,7384211,0.5207139359489388
oxipng,-o 1,13530574,7083536,0.523520731640801
oxipng,-o 1,15221346,8068531,0.5300799942396685
oxipng,-o 1,12310021,6335849,0.5146903486192266
oxipng,-o 1,12569322,6641569,0.5283951672174522
oxipng,-o 1,12965194,6971743,0.5377276267520563
oxipng,-o 1,15201042,8244629,0.5423726215610746
oxipng,-o 1,13454429,7182573,0.533844505775756
oxipng,-o 1,14155724,7405125,0.5231187751329427
oxipng,-o 1,14275852,7603718,0.5326279650419463
oxipng,-o 1,10954000,5492080,0.501376666058061
oxipng,-o 1,11699990,6166422,0.5270450658504836
oxipng,-o 1,13418653,7234542,0.5391407021256157
oxipng,-o 2,1060275,648893,0.6120044328122421
oxipng,-o 2,17818795,9532043,0.5349431877969302
oxipng,-o 2,14105918,7631429,0.5410090289763488
oxipng,-o 2,9574194,7632817,0.797228153095707
oxipng,-o 2,11691200,5803428,0.49639284247981386
oxipng,-o 2,11189733,5583841,0.49901467711517333
oxipng,-o 2,15136898,7943191,0.524756855730943
oxipng,-o 2,17295792,9093948,0.5257896255921671
oxipng,-o 2,14140694,11596446,0.820076157506838
oxipng,-o 2,14009184,7380758,0.5268513854911179
oxipng,-o 2,17359477,9393017,0.5410887090665232
oxipng,-o 2,12771364,6644188,0.5202410643060522
oxipng,-o 2,19115882,10273446,0.5374298711406568
oxipng,-o 2,13103347,6830553,0.5212830737062828
oxipng,-o 2,14180936,7461802,0.526185436560746
oxipng,-o 2,13530574,7024861,0.519184256336797
oxipng,-o 2,15221346,7983475,0.5244920521483448
oxipng,-o 2,12310021,6250090,0.5077237479936062
oxipng,-o 2,12569322,6558180,0.5217608396061458
oxipng,-o 2,12965194,6942412,0.5354653389683178
oxipng,-o 2,15201042,8142058,0.5356249920235732
oxipng,-o 2,13454429,7089108,0.5268977226755591
oxipng,-o 2,14155724,7345292,0.5188920043934171
oxipng,-o 2,14275852,7511924,0.5261979460140103
oxipng,-o 2,10954000,5461662,0.4985997809019536
oxipng,-o 2,11699990,6072628,0.5190284778021178
oxipng,-o 2,13418653,7185001,0.5354487518233015
oxipng,-o 3,1060275,645190,0.6085119426563863
oxipng,-o 3,17818795,9464840,0.5311717206466543
oxipng,-o 3,14105918,7651101,0.5424036209483141
oxipng,-o 3,9574194,7499524,0.7833060412187177
oxipng,-o 3,11691200,5606700,0.47956582728890107
oxipng,-o 3,11189733,5489241,0.4905604986285196
oxipng,-o 3,15136898,7932936,0.5240793721408442
oxipng,-o 3,17295792,9038041,0.5225572208546448
oxipng,-o 3,14140694,11309915,0.7998132906348161
oxipng,-o 3,14009184,7235023,0.5164485668829819
oxipng,-o 3,17359477,9277371,0.5344268724224814
oxipng,-o 3,12771364,6659076,0.5214067972692659
oxipng,-o 3,19115882,10212739,0.5342541348602173
oxipng,-o 3,13103347,6787840,0.5180233721964319
oxipng,-o 3,14180936,7218143,0.5090032844094353
oxipng,-o 3,13530574,7028678,0.5194663581899778
oxipng,-o 3,15221346,7948487,0.5221934380835965
oxipng,-o 3,12310021,6245844,0.5073788257550494
oxipng,-o 3,12569322,6574784,0.5230818336899954
oxipng,-o 3,12965194,6758361,0.5212695621831805
oxipng,-o 3,15201042,8033770,0.5285012698471592
oxipng,-o 3,13454429,7058178,0.5245988514265452
oxipng,-o 3,14155724,7320726,0.5171565933328455
oxipng,-o 3,14275852,7372437,0.5164271106200877
oxipng,-o 3,10954000,5399513,0.4929261457002008
oxipng,-o 3,11699990,6035034,0.5158153126626603
oxipng,-o 3,13418653,7162217,0.5337508168666408
oxipng,-o 4,1060275,643819,0.6072188818938483
oxipng,-o 4,17818795,9463911,0.5311195846857208
oxipng,-o 4,14105918,7652497,0.5425025865030549
oxipng,-o 4,9574194,7477001,0.7809535716531334
oxipng,-o 4,11691200,5615430,0.4803125427672095
oxipng,-o 4,11189733,5495066,0.49108106511567345
oxipng,-o 4,15136898,7925172,0.5235664533116362
oxipng,-o 4,17295792,9027621,0.5219547621756784
oxipng,-o 4,14140694,11240850,0.7949291597710834
oxipng,-o 4,14009184,7239406,0.5167614330713338
oxipng,-o 4,17359477,9261734,0.5335260964371219
oxipng,-o 4,12771364,6656112,0.5211747155589646
oxipng,-o 4,19115882,10204992,0.5338488697513408
oxipng,-o 4,13103347,6787350,0.5179859771705656
oxipng,-o 4,14180936,7218598,0.5090353697386407
oxipng,-o 4,13530574,7032505,0.5197491991101043
oxipng,-o 4,15221346,7940712,0.5216826422577872
oxipng,-o 4,12310021,6244597,0.5072775261715639
oxipng,-o 4,12569322,6576761,0.523239121410049
oxipng,-o 4,12965194,6746309,0.5203399964551244
oxipng,-o 4,15201042,8031959,0.5283821332774424
oxipng,-o 4,13454429,7052896,0.5242062669474862
oxipng,-o 4,14155724,7320190,0.517118728791265
oxipng,-o 4,14275852,7371242,0.5163434028315788
oxipng,-o 4,10954000,5402187,0.4931702574402045
oxipng,-o 4,11699990,6039303,0.5161801847693887
oxipng,-o 4,13418653,7160884,0.5336514775365306
oxipng,-o 5,1060275,643819,0.6072188818938483
oxipng,-o 5,17818795,9463911,0.5311195846857208
oxipng,-o 5,14105918,7628690,0.54081485515512
oxipng,-o 5,9574194,7477001,0.7809535716531334
oxipng,-o 5,11691200,5615430,0.4803125427672095
oxipng,-o 5,11189733,5495066,0.49108106511567345
oxipng,-o 5,15136898,7925172,0.5235664533116362
oxipng,-o 5,17295792,9027621,0.5219547621756784
oxipng,-o 5,14140694,11240850,0.7949291597710834
oxipng,-o 5,14009184,7239406,0.5167614330713338
oxipng,-o 5,17359477,9261734,0.5335260964371219
oxipng,-o 5,12771364,6642499,0.5201088153152631
oxipng,-o 5,19115882,10204992,0.5338488697513408
oxipng,-o 5,13103347,6787350,0.5179859771705656
oxipng,-o 5,14180936,7218598,0.5090353697386407
oxipng,-o 5,13530574,7025432,0.5192264570593975
oxipng,-o 5,15221346,7940712,0.5216826422577872
oxipng,-o 5,12310021,6244597,0.5072775261715639
oxipng,-o 5,12569322,6560660,0.5219581453955909
oxipng,-o 5,12965194,6746309,0.5203399964551244
oxipng,-o 5,15201042,8031959,0.5283821332774424
oxipng,-o 5,13454429,7052896,0.5242062669474862
oxipng,-o 5,14155724,7320190,0.517118728791265
oxipng,-o 5,14275852,7371242,0.5163434028315788
oxipng,-o 5,10954000,5402187,0.4931702574402045
oxipng,-o 5,11699990,6039303,0.5161801847693887
oxipng,-o 5,13418653,7160884,0.5336514775365306
oxipng,-o 6,1060275,643819,0.6072188818938483
oxipng,-o 6,17818795,9463911,0.5311195846857208
oxipng,-o 6,14105918,7628690,0.54081485515512
oxipng,-o 6,9574194,7477001,0.7809535716531334
oxipng,-o 6,11691200,5615430,0.4803125427672095
oxipng,-o 6,11189733,5495066,0.49108106511567345
oxipng,-o 6,15136898,7925172,0.5235664533116362
oxipng,-o 6,17295792,9027621,0.5219547621756784
oxipng,-o 6,14140694,11240850,0.7949291597710834
oxipng,-o 6,14009184,7239406,0.5167614330713338
oxipng,-o 6,17359477,9261734,0.5335260964371219
oxipng,-o 6,12771364,6642499,0.5201088153152631
oxipng,-o 6,19115882,10204992,0.5338488697513408
oxipng,-o 6,13103347,6787350,0.5179859771705656
oxipng,-o 6,14180936,7218598,0.5090353697386407
oxipng,-o 6,13530574,7025432,0.5192264570593975
oxipng,-o 6,15221346,7940712,0.5216826422577872
oxipng,-o 6,12310021,6244597,0.5072775261715639
oxipng,-o 6,12569322,6560660,0.5219581453955909
oxipng,-o 6,12965194,6746309,0.5203399964551244
oxipng,-o 6,15201042,8031959,0.5283821332774424
oxipng,-o 6,13454429,7052896,0.5242062669474862
oxipng,-o 6,14155724,7320190,0.517118728791265
oxipng,-o 6,14275852,7371242,0.5163434028315788
oxipng,-o 6,10954000,5402187,0.4931702574402045
oxipng,-o 6,11699990,6039303,0.5161801847693887
oxipng,-o 6,13418653,7160884,0.5336514775365306
